player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
MATHILDE NEESGAARD,AAU,Aarhus United,1669.1,30,HF,False,LEGENDARY,339.9
JUNE BØTTGER,AAU,Aarhus United,1501.9,30,VF,False,LEGENDARY,156.3
LINE ELLERTSEN,AAU,Aarhus United,1417.3,30,HF,False,LEGENDARY,176.1
LINE BERGGREN LARSEN,AAU,Aarhus United,1382.1,19,HF,False,ELITE,35.8
MARIELLE MARTINSEN,AAU,Aarhus United,1377.9,28,HF,False,ELITE,205.0
STINE HOLM,AAU,Aarhus United,1365.5,26,HF,False,ELITE,66.3
THEA STANKIEWICZ,AAU,Aarhus United,1176.8,28,HF,False,NORMAL,161.8
EMMA MOGENSEN,AAU,Aarhus United,1134.6999999999998,28,HF,False,NORMAL,37.6
KATARINA BERENS,AAU,Aarhus United,1085.5,26,ST,False,NORMAL,70.5
LOUISE BAK JENSEN,AAU,Aarhus United,1079.6,30,MV,True,NORMAL,-2.0
SOPHIA SNOGDAL,AAU,Aarhus United,1078.7,5,VF,False,NORMAL,9.7
FREDERIKKE HEDEGAARD,AAU,Aarhus United,1078.3,27,HF,False,NORMAL,63.3
CELINE HOLST ELKJÆR,AAU,Aarhus United,1065.1,21,HF,False,NORMAL,8.8
NORA PERSSON,AAU,Aarhus United,1051.0,21,MV,True,NORMAL,-0.3
HEINE MOGENSEN ERIKSEN,AAU,Aarhus United,1013.8,5,HF,False,NORMAL,-1.2
